movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
561,Mega Shark vs. Giant Octopus,Mega Shark vs. Giant Octopus,2306,"9, plus an oil rig, a whale, a plane snatched out of the air by mega shark, two U.S. navy ships, one oil tanker crew killed by pirates, one pirate crew cooked well done, 7 U.S. submarines, one Japanese submarine, one mega shark and one giant octopus",#N/A,#N/A,#N/A,
562,Half Baked,Half Baked,2,1 horse and 1 dog,1/16/98,8000000,17278980,
563,Law Abiding Citizen,Law Abiding Citizen,15,15,10/16/09,53000000,73357727,
564,Titanic,Titanic,1534,"1,522 and 12 dogs",12/19/97,200000000,658672302,
565,Number Seventeen,Number Seventeen,2,2,#N/A,#N/A,#N/A,
566,Zombieland,Zombieland,149,148 plus Bill Murray,10/2/09,23600000,75590286,
567,The Transformers: The Movie,The Transformers: The Movie,2500000036,"1 robot planet, 7 autobots, 16 decepticons, 5 robot fish, 5 sharkticons, 2 random robots and Unicron",#N/A,#N/A,#N/A,
568,Ed Wood,Ed Wood,1,1,9/30/94,18000000,5755976,
569,True Romance,True Romance,20,20,9/10/93,12500000,12281000,
570,Clash of the Titans (1981),Clash of the Titans (1981),75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken",#N/A,#N/A,#N/A,
571,Clash of the Titans (2010),Clash of the Titans (2010),1291,"1,281 plus 1 fish, 2 giant scorpions, 4 furies, Medusa, a djinn, and the kraken",#N/A,#N/A,#N/A,
1574,Trees Lounge,Trees Lounge,1,1 and 0 motherfuckers,10/11/96,1300000,749741,
572,Transporter 3,Transporter 3,20,19 and a fish,#N/A,#N/A,#N/A,
573,Orphan,Orphan,4,3 and a pigeon,7/24/09,20000000,41596251,
574,The Objective,The Objective,10,10,#N/A,#N/A,#N/A,
575,Pinocchio's Revenge,Pinocchio's Revenge,3,2 people and 1 girl doll,#N/A,#N/A,#N/A,
576,Paranormal Activity,Paranormal Activity,1,1,9/25/09,450000,107918810,
577,Fantastic Mr. Fox,Fantastic Mr. Fox,6,"2 squabs, 3 chickens, 1 rat",#N/A,#N/A,#N/A,
578,Commando,Commando,86,86,10/4/85,10000000,34896317,
579,Donnie Darko,Donnie Darko,1,1,10/26/01,4500000,1270522,
580,Sam's Lake,Sam's Lake,10,10,#N/A,#N/A,#N/A,
581,Night of the Living Dead 3D,Night of the Living Dead 3D,10,10,#N/A,#N/A,#N/A,
582,Mouth to Mouth (2005),Mouth to Mouth (2005),2,2,#N/A,#N/A,#N/A,
583,State of Play,State of Play,5,5,4/17/09,60000000,37017955,
584,Sex and Death 101,Sex and Death 101,3,3,#N/A,#N/A,#N/A,
585,Near Dark,Near Dark,15,15,#N/A,#N/A,#N/A,
586,Taken,Taken,20,20,1/30/09,25000000,145000989,
587,Goodfellas,Goodfellas,10,10,9/19/90,25000000,46261759,
588,Dance of the Dead,Dance of the Dead,85,85,#N/A,#N/A,#N/A,
589,Happy Birthday to Me,Happy Birthday to Me,9,9,#N/A,#N/A,#N/A,
590,Pan's Labyrinth,Pan's Labyrinth,28,"22, a giant toad, 2 bugs, 2 fairies and a magic root",#N/A,#N/A,#N/A,
591,Drive Thru,Drive Thru,14,14,#N/A,#N/A,#N/A,
592,Young and Innocent,Young and Innocent,1,1,#N/A,#N/A,#N/A,
593,Cut,Cut,15,15,#N/A,#N/A,#N/A,
594,Invitation to a Suicide,Invitation to a Suicide,1,1,#N/A,#N/A,#N/A,
595,April Fools,April Fools,2,2,#N/A,#N/A,#N/A,
596,Young Guns II,Young Guns II,21,21,#N/A,#N/A,#N/A,
597,The Box (2009),The Box (2009),3,3,#N/A,#N/A,#N/A,
598,Broken Arrow,Broken Arrow,27,27,2/9/96,65000000,70640985,
599,Unthinkable,Unthinkable,55,55 and 0 motherfuckers,#N/A,#N/A,#N/A,
600,Elephant,Elephant,13,13,#N/A,#N/A,#N/A,
601,Casino Royale (1967),Casino Royale (1967),217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse.",#N/A,#N/A,#N/A,
602,Hellboy,Hellboy,6041,"34 plus 6 Sammaels, 1 Ogdru Jahad, and thousands of Sammael eggs",4/2/04,60000000,59103901,
603,First Blood,First Blood,5,"1 man, 3 dogs, 1 wild pig",10/22/82,14000000,47212904,
604,Insanitarium,Insanitarium,25,24 and a cat,#N/A,#N/A,#N/A,
605,Legion,Legion,217,172 and 45 locusts,1/22/10,26000000,40122938,
606,House of the Dead,House of the Dead,128,128,#N/A,#N/A,#N/A,
607,Brotherhood of Blood,Brotherhood of Blood,16,16,#N/A,#N/A,#N/A,
608,"Angels of the Universe	","Angels of the Universe	",2,2,#N/A,#N/A,#N/A,
609,The Road,The Road,6,6,11/25/09,25000000,8114270,
610,Postal,Postal,742,"148, a baby, and all the people that died when the first plane hit the World Trade Center, including the window washer.",#N/A,#N/A,#N/A,
611,Zoolander,Zoolander,3,"3 really, really ridiculously good-looking models ",9/28/01,28000000,45172250,
612,Rich and Strange,Rich and Strange,3,2 and a cat,#N/A,#N/A,#N/A,
613,Terminator Salvation,Terminator Salvation,500070,"53, 5 terminators, 2 motorcycle killing machines, 2 hunter killers, 8 face-eating water snake machines (a.k.a. machine face snake eaters) and Skynet Central",5/21/09,200000000,125322469,
614,Hook,Hook,9,9 and a coconut,12/11/91,70000000,109921554,
615,Matilda,Matilda,1,1,#N/A,#N/A,#N/A,
616,"American Crime, An American Crime","American Crime, An American Crime",1,1,#N/A,#N/A,#N/A,
617,Wild Oranges,Wild Oranges,3,3,#N/A,#N/A,#N/A,
618,Rambo II,Rambo II,63,62 and a chicken,#N/A,#N/A,#N/A,
619,Single White Female,Single White Female,4,3 and a dog,#N/A,#N/A,#N/A,
620,Fortress (1992),Fortress (1992),30,29 and a robo-truck,#N/A,#N/A,#N/A,
621,Casino,Casino,22,22,11/22/95,52000000,42388160,
622,Punisher: War Zone,Punisher: War Zone,108,108,12/5/08,35000000,8050977,
623,The Wizard of Gore,The Wizard of Gore,2512,"6, 1 leech, 5 rats and 5 handfuls of maggots",#N/A,#N/A,#N/A,
624,Raiders of the Lost Ark,Raiders of the Lost Ark,119,"55, a monkey and 63 ""impossible to count"" snakes",6/12/81,20000000,248159971,
625,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,532,"31 people, 8 chickens, 2 snakes, 1 mosquito and 490 other bugs",5/23/84,28000000,175083524,
626,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,2055,"48 people, 7 birds, and 2,000 rats",5/24/89,48000000,195705225,
627,Zombies of Mass Destruction,Zombies of Mass Destruction,34,34,1/29/10,1000000,0,
628,Rambo III,Rambo III,132,130 and 2 horses,5/25/88,58000000,53715611,
629,P2,P2,4,3 and a dog,#N/A,#N/A,#N/A,
630,Traitor,Traitor,63,63,8/27/08,22000000,23530831,
631,The Skin Game,The Skin Game,3,1 plus a fetus and a tree,#N/A,#N/A,#N/A,
632,Moulin Rouge,Moulin Rouge,1,1,5/18/01,53000000,57386369,
633,Rambo IV,Rambo IV,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs",#N/A,#N/A,#N/A,
634,Stardust,Stardust,17,"8 plus 4 witches, 1 star, 1 ferret, 1 small alligator, 1 goat and 1 unicorn",8/10/07,70000000,38373235,
635,Inception,Inception,3,3,7/16/10,160000000,292576195,
636,Whiteout,Whiteout,10,10,9/11/09,35000000,10275638,
637,Jaws 2,Jaws 2,8,7 people and 1 shark,6/16/78,20000000,102922376,
638,Jaws 3,Jaws 3,8,5 plus 2 sharks and 1 fish,#N/A,#N/A,#N/A,
639,Jaws 4,Jaws 4,3,2 and a shark,#N/A,#N/A,#N/A,
640,The Expendables,The Expendables,165,165,8/13/10,82000000,103068524,
641,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,2,2,11/19/75,4400000,108981275,
642,THX 1138,THX 1138,68,"63 plus 1 mate, 2 robot police officers, 1 hologram dude and a fetus",#N/A,#N/A,#N/A,
643,Machete,Machete,78,"77 and an unborn child		",9/3/10,12500000,26593646,
644,The Matrix,The Matrix,43,"42, a tracer bug, and Neo's doubt",3/31/99,65000000,171383253,
645,"The Goods: Live Hard, Sell Hard","The Goods: Live Hard, Sell Hard",1,1,8/14/09,10000000,15122676,
646,Undead or Alive,Undead or Alive,32,"30, a horse, and a chicken",#N/A,#N/A,#N/A,
647,Secret Agent,Secret Agent,4,4,#N/A,#N/A,#N/A,
648,Devil,Devil,7,7,9/17/10,10000000,33601190,
649,Fortress (1986),Fortress (1986),22,"6, a fox, and fifteen fish",#N/A,#N/A,#N/A,
650,Max Payne,Max Payne,32,32,10/17/08,35000000,40687294,
651,Shutter Island,Shutter Island,1,1,2/19/10,80000000,128012934,
652,Con Air,Con Air,31,"30, a tank and a car",6/6/97,80000000,101087161,
653,Flash Gordon,Flash Gordon,57,56 (including 9 hawkmen and 1 lizard man) plus a swamp monster,12/5/80,35000000,27107960,
654,Despicable Me,Despicable Me,1,1 bird,7/9/10,69000000,251513985,
655,Amelie,Amelie,1,1,#N/A,#N/A,#N/A,
656,The Baby's Room,The Baby's Room,1,1,#N/A,#N/A,#N/A,
657,The Man from Earth,The Man from Earth,1,1,10/19/07,200000,0,
658,The Machinist,The Machinist,1,1,10/22/04,5000000,1082044,
659,Nights in Rodanthe,Nights in Rodanthe,1,1,#N/A,#N/A,#N/A,
660,The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift,1,1,6/16/06,85000000,62514415,
661,Dead Snow,Dead Snow,46,"10, a crow, and 35 zombie Nazis",#N/A,#N/A,#N/A,
662,A Nightmare on Elm Street (2010),A Nightmare on Elm Street (2010),4,4,#N/A,#N/A,#N/A,
663,Red,Red,16,16,10/15/10,60000000,90380162,
664,2001: A Space Odyssey,2001: A Space Odyssey,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence ",4/2/68,10500000,56700000,
665,Australia,Australia,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog",11/26/08,130000000,49554002,
666,Shutter (2008),Shutter (2008),2,2,#N/A,#N/A,#N/A,
667,Ghost Ship,Ghost Ship,1137,"1,137",10/25/02,20000000,30113491,
668,"Bucket of Blood, A Bucket of Blood","Bucket of Blood, A Bucket of Blood",5,4 and a cat,#N/A,#N/A,#N/A,
669,Necropolis (1987),Necropolis (1987),17,12 and 5 ghouls,#N/A,#N/A,#N/A,
670,Kick-Ass,Kick-Ass,64,64,4/16/10,28000000,48071303,
671,Avatar,Avatar,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon.",12/18/09,425000000,760507625,
672,Saw VII,Saw VII,21,21,#N/A,#N/A,#N/A,
1473,Man of Steel,Man of Steel,2000129220,"129,039 people, General Zod, 10 Kryptonian soldiers, 170 Kryptonian fetuses and the planet Krypton",6/14/13,225000000,291045518,
673,Paranormal Activity 2,Paranormal Activity 2,3,2 and 1 bird,10/20/10,3000000,84752907,
674,The Nightmare Before Christmas,The Nightmare Before Christmas,2,1 and a scorpion,#N/A,#N/A,#N/A,
675,Clerks,Clerks,1,1,10/19/94,27000,2852326,
676,Wristcutters: A Love Story,Wristcutters: A Love Story,9,9,10/19/07,1000000,446165,
677,Night of the Living Dead (1968),Night of the Living Dead (1968),15,15,#N/A,#N/A,#N/A,
678,How to Lose Friends & Alienate People,How to Lose Friends & Alienate People,4,"1 dog and 3 goldfish	",10/3/08,28000000,2775593,
679,"How to Be a Serial Killer	","How to Be a Serial Killer	",28,28,#N/A,#N/A,#N/A,
680,"Cube	","Cube	",6,6,#N/A,#N/A,#N/A,
681,The Crazies (2010),The Crazies (2010),1266,"1,266",#N/A,#N/A,#N/A,
682,The Order,The Order,8,8,9/5/03,35000000,7659747,
683,The Book of Eli,The Book of Eli,53,51 plus a cat and a bird,1/15/10,80000000,94835059,
684,"Danika	","Danika	",3,3,#N/A,#N/A,#N/A,
685,Bangkok Dangerous,Bangkok Dangerous,44,43 and a scorpion,9/5/08,45000000,15298133,
686,Strangers on a Train,Strangers on a Train,3,3,7/3/51,1200000,7000000,
687,"Clay Pigeons	","Clay Pigeons	",3,3,#N/A,#N/A,#N/A,
688,American History X,American History X,3,3,10/30/98,10000000,6712241,
689,Santa's Slay,Santa's Slay,33,"31, a fluffy white dog and a helldeer",#N/A,#N/A,#N/A,
690,Dial M for Murder,Dial M for Murder,1,1,#N/A,#N/A,#N/A,
691,The Tourist,The Tourist,5,5,12/10/10,100000000,67631157,
692,The Losers,The Losers,61,"40 and a teddy bear before the opening title, then 20 more",4/23/10,25000000,23591432,
693,Life Blood,Life Blood,9,8 and a possum,#N/A,#N/A,#N/A,
694,"Tron	","Tron	",29,"19 programs, 7 recognizers, 2 tanks and 1 master control program",#N/A,#N/A,#N/A,
695,The Man Who Knew Too Much (1934),The Man Who Knew Too Much (1934),8,8,#N/A,#N/A,#N/A,
696,"Perfect Getaway, A Perfect Getaway","Perfect Getaway, A Perfect Getaway",8,"7 and a goat	",#N/A,#N/A,#N/A,
697,The Christmas Tale,The Christmas Tale,4,4,#N/A,#N/A,#N/A,
698,Requiem for a Dream,Requiem for a Dream,1,1,10/6/00,4500000,3635482,
699,"Cloudy with a Chance of Meatballs	","Cloudy with a Chance of Meatballs	",4,"1 and 3 gummie bears	",#N/A,#N/A,#N/A,
700,The Time Traveler's Wife,The Time Traveler's Wife,4,2 and 2 fetuses,8/14/09,39000000,63414846,
701,Jackie Brown,Jackie Brown,4,4 bodies and 38 motherfuckers from Samuel L. Jackson,12/25/97,12000000,39647595,
702,Knowing,Knowing,6785987235,All of Earth except for 2 kids and 2 rabbits,3/20/09,50000000,79957634,
703,Backdraft,Backdraft,6,6,#N/A,#N/A,#N/A,
704,Brooklyn's Finest,Brooklyn's Finest,16,16,3/5/10,17000000,27163593,
705,High Hopes,High Hopes ,2,2,#N/A,#N/A,#N/A,
706,The Emperor's New Groove,The Emperor's New Groove,2,2 bugs,12/15/00,100000000,89296573,
707,May,May,7,"5, a cat, and a creepy porcelain doll	",#N/A,#N/A,145540,
708,Rob Roy,Rob Roy,26,"14, a dog, 7 cows, 2 chickens and 2 sheep	",4/7/95,28000000,31341940,
709,"Die Hard	","Die Hard	",23,23,#N/A,#N/A,#N/A,
710,Die Hard 2,Die Hard 2,265,265,7/3/90,70000000,117323878,
711,Survival of the Dead,Survival of the Dead,96,"94, a pig, and a horse	",#N/A,#N/A,#N/A,
712,Harry Brown,Harry Brown,14,14,4/30/10,7300000,1818681,
713,Hostel: Part II,Hostel: Part II,9,9,6/8/07,7500000,17544812,
714,Behind Enemy Lines,Behind Enemy Lines,43,43,11/30/01,40000000,58855732,
715,Dune,Dune,270,268 and 2 sandworms,12/14/84,45000000,27447471,
716,"Return to Horror High	","Return to Horror High	",4,4 flies,#N/A,#N/A,#N/A,
717,To Catch a Thief,To Catch a Thief,1,1,#N/A,#N/A,#N/A,
718,Psycho (1960),Psycho (1960),2,2,#N/A,#N/A,#N/A,
719,Rear Window,Rear Window,2,"1 and a dog	",#N/A,#N/A,#N/A,
720,Blackmail,Blackmail,2,2,#N/A,#N/A,#N/A,
721,"Sabotage (1936)	","Sabotage (1936)	",58,57 and a puppy,#N/A,#N/A,#N/A,
722,Screamers,Screamers,132,"76 people, 11 Type 1-revised screamers, 2 Type 2 screamers, 40 Type 3 screamers, 2 Type 4 screamers, and 1 rat",#N/A,#N/A,#N/A,
723,Lady and the Tramp,Lady and the Tramp,1,1 rat,#N/A,#N/A,#N/A,
724,"Day of the Dead (2008)	","Day of the Dead (2008)	",118,117 and one zombie boyfriend,#N/A,#N/A,#N/A,
725,2001 Maniacs,2001 Maniacs,11,"8 people, an armadillo, a cat, and a mouse",#N/A,#N/A,#N/A,
726,My Bloody Valentine (1981),My Bloody Valentine (1981),15,15,#N/A,#N/A,#N/A,
727,"Mulholland Drive, Mulholland Dr.","Mulholland Drive, Mulholland Dr.",9,9,#N/A,#N/A,#N/A,
728,The Wolfman (2010),The Wolfman (2010),21,21,#N/A,#N/A,#N/A,
729,"Scotland, Pa	","Scotland, Pa	",5,5,#N/A,#N/A,#N/A,
730,Vertigo,Vertigo,3,3,#N/A,#N/A,#N/A,
731,The Outsiders,The Outsiders,3,3,3/25/83,10000000,25584680,
732,Chloe,Chloe,1,1,3/26/10,13000000,3075255,
733,Dogma,Dogma,67,"57, 5 demons and 5 gang members	",11/12/99,10000000,30651422,
734,Surrogates,Surrogates,13,13,9/25/09,80000000,38577772,
1223,Bad Boys,Bad Boys,21,21,4/7/95,23000000,65637842,
735,Extract,Extract,2,1 and a testicle,9/4/09,7500000,10823158,
736,Good Time Max,Good Time Max,3,3,#N/A,#N/A,#N/A,
737,The Blind Side,The Blind Side,1,1,11/20/09,35000000,255959475,
738,"Tenebre	","Tenebre	",12,12,#N/A,#N/A,#N/A,
739,Splice,Splice,8,"3 people, 1 Ginger, 1 Fred, 1 rabbit, 1 cat and 1 Dren",6/4/10,30000000,17010170,
740,New Moon,New Moon,3,2 and 1 vampire,#N/A,#N/A,#N/A,
741,Defendor,Defendor,2,2,2/19/10,3750000,44462,
742,"My Sister's Keeper	","My Sister's Keeper	",2,2,#N/A,#N/A,#N/A,
743,Predators,Predators,19,"7 people, 4 predators, 1 bug, 6 horny alien dogs and 1 alien thing",7/9/10,40000000,52000688,
744,How About You,How About You,1,1,#N/A,#N/A,#N/A,
745,"The Lookout	","The Lookout	",7,7,#N/A,#N/A,#N/A,
746,The Gate,The Gate,1,1 demon lord,#N/A,#N/A,#N/A,
747,"Ghost Dog: The Way of the Samurai	","Ghost Dog: The Way of the Samurai	",45,"18 people, 26 pigeons and 1 bear",#N/A,#N/A,#N/A,
748,Hard Candy,Hard Candy,1,1,4/14/06,950000,1024640,
749,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,162,"21, 3 gungam mounts, 4 destroyers, 2 tattooine lizard rats, 130 droids, 1 black gooberfish, and 1 eel-igator. Also 0 motherfuckers from Samuel L. Jackson.",#N/A,#N/A,#N/A,
750,BASEketball,BASEketball,17,"5 people, 2 chickens, 1 skunk, 3 raccoons, 1 dog, 1 kangaroo and 4 other animals that died too fast to identify.",#N/A,#N/A,#N/A,
751,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,200697,"128 (including Jango Fett) plus 2 extremely poisonous giant centipedes, 1 giant alien saber-rat, 1 space beast, 1 space rhinocerous, 1 Mary-beast, 2 AT-TE walkers, 377 droids, 25 big-boned droids, 1 spider droid, 8 roller droids, 2 destroyers, and 1 ball ship.",#N/A,#N/A,#N/A,
752,I Spit on Your Grave (1978),I Spit on Your Grave (1978),4,4,#N/A,#N/A,#N/A,
753,I Spit on Your Grave (2010),I Spit on Your Grave (2010),6,6,#N/A,#N/A,#N/A,
754,Happy Gilmore,Happy Gilmore,3,2 and an alligator,2/16/96,10000000,38602000,
755,"Mad Max	","Mad Max	",10,9 and a dog,#N/A,#N/A,#N/A,
756,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,353646,"117 plus 88 droids, 2 destroyers, 2 horseshoe crab ships, half of General Grievous's ship, 4 starfighters, 1 vulture droid, 8 buzz droids, 5 big-boned droids, 6 jedi-looking droids, 2 rolling water droids, 2 spider droids, 2 flying saucer ships and a hovertank.",#N/A,#N/A,#N/A,
757,Peacock,Peacock,1,1,#N/A,#N/A,#N/A,
758,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope,1972739840,"115 plus 9 jawas, 6 X-Wings, 8 TIE Fighters, 3 Y-Wings, the entire planet of Alderaan and one Death Star",#N/A,#N/A,#N/A,
759,Feast of Love,Feast of Love,1,1,#N/A,#N/A,#N/A,
760,Up in the Air,Up in the Air,1,1,12/4/09,30000000,83823381,
761,Chuck & Buck,Chuck & Buck,1,1,#N/A,#N/A,#N/A,
762,Murder!,Murder!,1,1,#N/A,#N/A,#N/A,
763,P.S. I Love You,P.S. I Love You,1,1,12/21/07,30000000,53695808,
764,Insidious,Insidious,1,1,4/1/11,1500000,54009150,
765,Mega Piranha,Mega Piranha,4165,"47, plus 1 shark, 1 cruise ship, 1 navy ship, 1 nuclear submarine and 41 mega piranhas",#N/A,#N/A,#N/A,
766,The Tingler,The Tingler,2,2,#N/A,#N/A,#N/A,
767,The Town,The Town,6,6,9/17/10,37000000,92186262,
768,The Tournament,The Tournament,45,"43, 1 dog and 1 fetus",#N/A,#N/A,#N/A,
769,The Quiet,The Quiet,1,1,8/25/06,900000,381420,
770,The Last Exorcism,The Last Exorcism,4,3 and a kitty,8/27/10,1800000,41034350,
771,The Last Airbender,The Last Airbender,2,2,7/1/10,150000000,131601062,
772,The Human Centipede,The Human Centipede,6,6,#N/A,#N/A,#N/A,
773,The Gravedancers,The Gravedancers,6,6,#N/A,#N/A,#N/A,
774,The Good Son,The Good Son,3,2 and a dog,#N/A,#N/A,#N/A,
775,The Girl Who Played with Fire,The Girl Who Played with Fire,4,4,#N/A,#N/A,#N/A,
776,The Farmer's Wife,The Farmer's Wife,1,1,#N/A,#N/A,#N/A,
777,Orange County,Orange County,1,1,1/11/02,18000000,41059716,
778,The Square,The Square,6,5 and a doggie,4/9/10,1900000,406216,
779,Richard III,Richard III,29,29,12/29/95,9200000,2684904,
780,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,136,"38, 2 tauntauns, 1 probe droid, 2 AT-AT Imperial Walkers, 4 TIE fighters and one mynock",#N/A,#N/A,#N/A,
781,Cruel World,Cruel World,11,10 and a cow,#N/A,#N/A,#N/A,
782,2012,2012,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.,#N/A,#N/A,#N/A,
783,Dead Air,Dead Air,160004,4 plus tens of thousands of people in sixteen major US cities.,#N/A,#N/A,#N/A,
784,The Killer Inside Me,The Killer Inside Me,11,11,6/18/10,13000000,217277,
785,Die! Die! My Darling!,Die! Die! My Darling!,2,2,#N/A,#N/A,#N/A,
786,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,2615849,"76 (including Yoda, Boba Fett, Jabba the Hut, the Emperor and Darth Vader) plus 1 rancor, 1 Jabba-snack (a.k.a. frog), 1 space slug, 5 ewoks, 4 X-Wings, one rebel fighter, one kamikaze rebel fighter, 3 AT-ATs, 10 TIE Fighters, 2 rebel cruisers, 2 star destroyers and one unfinished death star.",#N/A,#N/A,#N/A,
787,The Ghost Writer,The Ghost Writer,3,3,2/19/10,45000000,15541549,
788,Candyman,Candyman,6,5 and a dog,#N/A,#N/A,#N/A,
789,The Rite,The Rite,4,4,1/28/11,37000000,33047633,
790,Giallo,Giallo,5,5,#N/A,#N/A,#N/A,
791,Die Hard: With a Vengeance,Die Hard: With a Vengeance,16,16 plus 5 motherfuckers from Samuel L. Jackson,5/19/95,90000000,99983259,
792,Schindler's List,Schindler's List,10033,"10,033",12/15/93,25000000,95494598,
793,Sin City,Sin City,59,59,4/1/05,40000000,74103820,
794,Lord of the Rings I: The Fellowship of the Ring,Lord of the Rings I: The Fellowship of the Ring,183,"102 before the title and then 72 more, plus 9 horses",#N/A,#N/A,#N/A,
795,Jersey Girl,Jersey Girl,1,1,3/26/04,35000000,25266129,
796,A Clockwork Orange,A Clockwork Orange,3,2 and a snake,#N/A,#N/A,#N/A,
797,Salt,Salt,30,30,7/23/10,130000000,118311368,
798,Willow,Willow,36,"33, plus 1 ""dog"" (looks more like a cross between a boar and a giant rat), 1 troll, and 1 two-headed beast ",#N/A,#N/A,#N/A,
799,The Road Warrior,The Road Warrior,48,"46, 1 bunny, and 1 dog",#N/A,#N/A,#N/A,
800,Pot Zombies,Pot Zombies,22,22,#N/A,#N/A,#N/A,
801,The Beach,The Beach,8,8,2/11/00,50000000,39778599,
802,Super 8,Super 8,9,9,6/9/11,50000000,127004179,
803,Deuce Bigalow: Male Gigolo,Deuce Bigalow: Male Gigolo,2,1 rainbow fish and 1 chinese tailbar lionfish,12/10/99,18000000,65535067,
804,Dracula (1931),Dracula (1931),13,13 (including Dracula),#N/A,#N/A,#N/A,
805,The Man Who Knew Too Much (1956),The Man Who Knew Too Much (1956),3,3,#N/A,#N/A,#N/A,
806,Lord of the Rings II: The Two Towers,Lord of the Rings II: The Two Towers,1246,"87 men, 67 elves, 1,068 orcs, 6 horses, 13 worgs, 1 ent, 1 balrog, 2 rabbits and 1 fish",#N/A,#N/A,#N/A,
807,Shrooms,Shrooms,7,6 and a goat,#N/A,#N/A,#N/A,
808,Canadian Bacon,Canadian Bacon,2,2,#N/A,#N/A,#N/A,
809,Money Train,Money Train,3,3,11/22/95,68000000,35305090,
810,Dangerous Love,Dangerous Love,5,5,#N/A,#N/A,#N/A,
811,The Wolf Man,The Wolf Man,4,2 and 2 wolfmen,#N/A,#N/A,#N/A,
812,Mutant Vampire Zombies from the 'Hood!,Mutant Vampire Zombies from the 'Hood!,92,92,#N/A,#N/A,#N/A,
813,Ninja vs. Bruce Lee,Ninja vs. Bruce Lee,3,3,#N/A,#N/A,#N/A,
814,Otis,Otis,3,3,#N/A,#N/A,#N/A,
815,Case 39,Case 39,7,6 and a demon child,10/1/10,27000000,13261851,
816,Staten Island,Staten Island,7,7,#N/A,#N/A,#N/A,
817,The Texas Chainsaw Massacre (1974),The Texas Chainsaw Massacre (1974),5,5,#N/A,#N/A,#N/A,
818,The Texas Chainsaw Massacre (2003),The Texas Chainsaw Massacre (2003),8,8,#N/A,#N/A,#N/A,
819,Bram Stoker's Dracula,Bram Stoker's Dracula,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires",11/13/92,40000000,78142084,
820,Cop Out,Cop Out,10,10,2/26/10,37000000,44875481,
821,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein,12,"9 and 3 dogs		",#N/A,#N/A,#N/A,
822,Frankenstein (1931),Frankenstein (1931),4,4,#N/A,#N/A,#N/A,
823,Final Destination 5,Final Destination 5,94,94,8/12/11,40000000,42587643,
824,Lord of the Rings III: The Return of the King,Lord of the Rings III: The Return of the King,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum",#N/A,#N/A,#N/A,
825,Oldboy,Oldboy,6,5 and an octopus,3/25/05,3000000,707391,
826,Hollywood Homicide,Hollywood Homicide,8,8,6/13/03,75000000,30207785,
827,Lake Dead,Lake Dead,8,8,#N/A,#N/A,#N/A,
828,"Serious Man, A Serious Man","Serious Man, A Serious Man",3,2 and a deer,#N/A,#N/A,#N/A,
829,Top Secret!,Top Secret!,24,"22, a cricket and a carrier pigeon",#N/A,#N/A,#N/A,
830,Stag Night,Stag Night,12,11 and a dog,#N/A,#N/A,#N/A,
831,Phenomena,Phenomena,7,7,#N/A,#N/A,#N/A,
832,Armored,Armored,6,6,12/4/09,20000000,15988876,
833,Up,Up,2,2,5/29/09,175000000,293004164,
834,Very Bad Things,Very Bad Things,6,6,11/25/98,10000000,9801782,
835,The Lovely Bones,The Lovely Bones,2,2,12/11/09,95000000,44028238,
836,Contract Killers,Contract Killers,8,8,#N/A,#N/A,#N/A,
837,The American,The American,9,9,9/1/10,20000000,35606376,
838,How to Kill Your Neighbor's Dog,How to Kill Your Neighbor's Dog,1,1 dog,#N/A,#N/A,#N/A,
839,Jesus' Son,Jesus' Son,12,"5 plus 1 rabbit, 5 premature rabbits and 1 fetus",6/16/00,2500000,1282084,
840,My Soul to Take,My Soul to Take,9,9,10/8/10,25000000,14744435,
841,Knight and Day,Knight and Day,49,49,6/23/10,117000000,76423035,
842,Boogeyman,Boogeyman,5,4 and a bird,2/4/05,20000000,46363118,
