movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
90,Tremors,Tremors,34,"9 people, 20 sheep, 1 horse, 4 graboids",1/19/90,10000000,16667084,
91,Tremors 2: Aftershocks,Tremors 2: Aftershocks,75,"3, plus 1 coyote and 71 graboids	",#N/A,#N/A,#N/A,
92,Stay Alive,Stay Alive,10,9 and a vampire,3/24/06,20000000,23086480,
93,The French Connection,The French Connection,13,13,10/9/71,2200000,41158757,
94,Zodiac,Zodiac,3,3,3/2/07,85000000,33080084,
95,Evil Breed: The Legend of Samhain,Evil Breed: The Legend of Samhain,12,11 and 1 inbreed,#N/A,#N/A,#N/A,
1495,Sudden Death,Sudden Death,36,36,#N/A,#N/A,#N/A,
96,Dark Town,Dark Town,25,"14 people, 9 vampires, 1 baby and 1 cat",#N/A,#N/A,#N/A,
97,Night of the Comet,Night of the Comet,4769000095,The entire population of Earth in 1984 minus 6 people plus 2 cars,#N/A,#N/A,#N/A,
98,"Puff, Puff, Pass","Puff, Puff, Pass",1,1,#N/A,#N/A,#N/A,
99,"Let's Go to Prison	","Let's Go to Prison	",1,1,#N/A,#N/A,#N/A,
100,Snakes on a Plane,Snakes on a Plane,118,"62 people, 54 snakes, 1 cat and 1 dog. Also, Samuel L. Jackson said motherfucker/ing five times.",8/18/06,33000000,34020814,
101,Total Recall,Total Recall,68,"49, plus 16 fish, 1 rat, 1 Jonny Cab and 1 three-breasted mutant hooker",6/1/90,65000000,58877969,
102,The Prestige,The Prestige,108,105 and 3 birds,10/20/06,40000000,53089891,
103,Dead Silence,Dead Silence,7,6 and 1 unborn child,#N/A,#N/A,#N/A,
104,Cannibal! The Musical,Cannibal! The Musical,8,"6 people, 1 snowman and 1 horse",#N/A,#N/A,#N/A,
105,Sleepers,Sleepers,8,8,10/18/96,44000000,53300852,
106,Beerfest,Beerfest,17,"4, a trophy, a deer, and a batch of monkey-frogs		",8/25/06,17500000,19185184,
107,The Island,The Island,64,"22, plus 2 police officers and 40 ""defective"" (read: free-thinking) clones",6/13/80,22000000,35818913,
108,Devour,Devour,12,"1 cougar, 10 people and 1 deer	",#N/A,#N/A,#N/A,
109,Deep Evil,Deep Evil,19,7 and 12 aliens,#N/A,#N/A,#N/A,
110,Rory O'Shea Was Here,Rory O'Shea Was Here,1,1,#N/A,#N/A,#N/A,
111,Dark Water,Dark Water,1,1,7/8/05,60000000,25473093,
112,Turistas,Turistas,10,10,12/1/06,10000000,7027762,
113,Black Christmas,Black Christmas,7,7,12/25/06,9000000,16235738,
