moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
avatar,321,760507625,425000000,action,12/18/2009,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
awake,323,14373825,8600000,thriller/suspense,11/30/2007,2,2
bachelor party in the bungalow of the damned,,,,,,6,"2 people, 3 awful vampire chicks and 1 crappy male vampire"
backdraft,,,,,,6,6
bad ass,,,,,,4,4
bad biology,,,,,,5,4 plus one large mutant penis
bad boys,340,65637842,23000000,action,4/7/1995,21,21
bad dreams,,,,,,37,37
bad girl island,,,,,,4,4
bad kids go to hell,,,,,,7,6 and a bug
bad lieutenant,,,,,,1,1
bad santa,344,60060328,18000000,black comedy,11/26/2003,1,1
bad taste,,,,,,66,"60, plus 5 seagulls and 1 sheep"
bad words,346,7779614,10000000,comedy,3/14/2014,0,0
bag of bones,,,,,,12,11 and an unborn child
bambi,,,,,,3,"1 deer, 2 pheasants"
bangkok dangerous,355,15298133,45000000,action,9/5/2008,44,43 and a scorpion
barb wire,,,,,,31,31
barbarella,,,,,,40,19 and 21 leathermen
barry munday,,,,,,0,0
baseketball,,,,,,17,"5 people, 2 chickens, 1 skunk, 3 raccoons, 1 dog, 1 kangaroo and 4 other animals that died too fast to identify."
basic,365,26599248,50000000,thriller/suspense,3/28/2003,3,3
batman,369,248972777,35000000,action,6/23/1989,54,54
batman & robin,370,107308328,125000000,action,6/20/1997,13,13
batman begins,371,205343774,150000000,action,6/15/2005,6,6
batman forever,372,183997904,100000000,action,6/16/1995,15,15
batman returns,373,162833635,80000000,action,6/18/1992,6,5 and a cat
batman: the movie,,,,,,11,"5, a shark, an octopus and 4 noble porpoises"
bats,374,10155691,6500000,horror,10/22/1999,10264,"28 people and 10,236 bats"
battle for the planet of the apes,,,,,,35,12 humans and 23 apes
battle royale,,,,,,43,43
bee movie,393,126631277,150000000,comedy,11/2/2007,1,1 bug
beerfest,394,19185184,17500000,comedy,8/25/2006,17,"4, a trophy, a deer, and a batch of monkey-frogs"
before the devil knows youre dead,,,,,,6,6
behind enemy lines,402,58855732,40000000,action,11/30/2001,43,43
being john malkovich,403,22858926,13000000,black comedy,10/29/1999,0,0
belly,,,,,,20,20
beneath the dark,,,,,,4,4
beneath the planet of the apes (1970),,,,,,17,"10 humans, 1 horse and 6 apes"
bernie,412,9204489,6000000,black comedy,4/27/2012,1,1
better living through chemistry,,,,,,1,1
beyond the time barrier,,,,,,27,25 and 2 mutants
beyond the wall of sleep,,,,,,17,"15, 1 fly and 1 monster"
big fish,434,66432867,70000000,drama,12/10/2003,1,1
big money rustlas,,,,,,10,9 and a bird
big nothing,,,,,,5,5
big trouble,440,7262288,45000000,comedy,4/5/2002,2,1 person and 2 television sets
big trouble in little china,441,10911690,25000000,action,7/1/1986,36,"35 and a thing they called a guardian but which I think looks like a beholder. Not a behemoth, which is what I said the first time. Wrong b word."
biker boyz,,,,,,2,2
bikini girls on ice,,,,,,12,11 and a dog
billy madison,,,,,,6,6
birdemic: shock and terror,,,,,,45,"14 people, 30 birds and 1 fish"
birdman,,,,,,0,0
bitten,,,,,,7,"4 people, 2 vampires and a cat"
black christmas,450,16235738,9000000,horror,12/25/2006,7,7
black dynamite,,,,,,46,46
black rock,,,,,,4,4
black snake moan,457,9396870,15000000,drama,3/2/2007,0,no one died but Samuel L. Jackson graced us with 5 motherfuckers and 1 motherfucking
black sunday (1960) aka the mask of satan,,,,,,9,"6, 1 bat and 2 dogs"
black water,,,,,,7,"3 people, 1 fetus, 2 bugs and a crocodile"
blackmail,,,,,,2,2
blade,461,70001065,45000000,action,8/21/1998,69,"22 humans, 46 vampires and a plant"
blade ii,,,,,,239,"34 people, 23 vampires, 86 reapers and 96 reaper fetuses"
blade: trinity,464,52397389,65000000,action,12/8/2004,254,"195 people, 55 vampires, 3 vampire dogs and Dracula"
blended,468,46290741,45000000,romantic comedy,5/23/2014,1,1 baby boar
bless the child,469,29374178,40000000,thriller/suspense,8/11/2000,6,6
blessed,,,,,,6,5 and a fetus
blood & donuts,,,,,,6,"2 people, 2 rats, 1 pigeon and 1 vampire"
blood and chocolate,472,3526588,15000000,horror,1/26/2007,12,12
blood diamond,474,57377916,100000000,action,12/8/2006,93,92 and a baboon
blood diner,,,,,,69,69
blood gnome,,,,,,33,26 plus A-MAN-da and 6 blood gnomes
blood guts bullets and octane,,,,,,13,13
blood slaughter massacre,,,,,,42,42
blood work,478,26199517,50000000,thriller/suspense,8/9/2002,7,7
bloodsport,480,11806119,1500000,action,2/26/1988,2,2 bodies and Van Damme gave us 10 full horizontal splits
bloodsucking freaks,,,,,,13,13
bloody birthday,,,,,,8,8
bloody mallory,,,,,,30,"8, 17 ghouls, a demon, a succubus, a black cat, a rat and a vampire"
blubberella,,,,,,31,23 people and 8 vampires
blue valentine,489,9737892,1000000,drama,12/29/2010,1,1
boarding gate,,,,,,3,3
body count,,,,,,7,7
boogeyman,501,46363118,20000000,horror,2/4/2005,5,4 and a bird
boogie nights,502,26384919,15000000,drama,10/10/1997,9,9
boogie woogie,,,,,,2,2
