,Release Date,Movie,Genre,ProductionBudget,BoxOffice
872,2003-04-11,anger management,comedy,56000000,135560942
888,2010-08-13,animal kingdom,drama,4200000,1044039
906,1999-12-17,anna and the king,drama,75000000,39251128
908,2012-11-16,anna karenina,drama,49000000,12816367
909,2014-10-03,annabelle,horror,6500000,84273813
914,2014-12-19,annie,musical,65000000,85911262
917,1950-05-17,annie get your gun,musical,3768785,8000000
918,1977-04-20,annie hall,comedy,4000000,38251425
926,2015-12-30,anomalisa,comedy,8000000,2658258
930,2011-10-28,anonymous,thriller/suspense,27500000,4463292
937,2011-07-22,another earth,drama,175000,1321194
940,2011-11-18,another happy day,drama,4000000,9120
945,2010-12-29,another year,drama,8000000,3205706
955,2015-07-17,ant-man,action,130000000,180202163
958,2015-04-17,antarctic edge: 70º south,documentary,150000,7193
973,2001-01-12,antitrust,thriller/suspense,30000000,10965209
978,2002-12-19,antwone fisher,drama,12500000,21078145
979,1998-10-02,antz,adventure,60000000,90646554
984,1999-12-22,any given sunday,drama,60000000,75530832
988,2003-09-19,anything else,romantic comedy,18000000,3203044
990,1999-11-12,anywhere but here,drama,23000000,18653615
1006,1979-08-15,apocalypse now,action,31500000,78800000
1009,2006-12-08,apocalypto,adventure,40000000,50866635
1010,1995-06-30,apollo 13,drama,65000000,172036360
1012,2011-09-02,apollo 18,thriller/suspense,5000000,17686929
1017,2008-09-19,appaloosa,western,20000000,20211394
1042,1986-03-27,april fools day,horror,5000000,12947763
1050,2007-04-13,aqua teen hunger force colon movie film for theaters,comedy,750000,5520368
1052,2006-03-03,aquamarine,comedy,12000000,18595716
1055,1990-07-18,arachnophobia,thriller/suspense,31000000,53208180
1059,2002-11-15,ararat,drama,15500000,1693000
1060,2012-09-14,arbitrage,thriller/suspense,12000000,7919574
1074,2005-01-21,are we there yet?,romantic comedy,20000000,82301521
1080,2012-10-12,argo,thriller/suspense,44500000,136025503
1091,1999-07-09,arlington road,thriller/suspense,21500000,24362501
1094,1998-07-01,armageddon,adventure,140000000,201573391
1103,2009-12-04,armored,thriller/suspense,20000000,15988876
1107,1993-02-19,army of darkness,horror,11000000,11502976
1115,2007-10-19,arnolds park,thriller/suspense,600000,23616
1120,1956-10-17,around the world in 80 days,adventure,6000000,42000000
1121,2004-06-16,around the world in 80 days,adventure,110000000,24004159
1148,2011-04-08,arthur,comedy,40000000,33035397
1152,2011-11-23,arthur christmas,adventure,85000000,46462469
1154,2006-12-15,arthur et les minimoys,adventure,80000000,15132763
1158,2006-09-15,artie langes beer league,comedy,2800000,475000
1160,2001-06-29,artificial intelligence: ai,drama,90000000,78616689
1166,2014-08-29,as above so below,thriller/suspense,5000000,21222315
1169,1997-12-24,as good as it gets,romantic comedy,50000000,147637474
1172,2014-07-11,as it is in heaven,drama,450000,13486
1205,1995-10-06,assassins,action,50000000,30272938
1211,2005-01-19,assault on precinct 13,action,30000000,20040895
1231,2009-10-23,astro boy,adventure,65000000,19551067
1221,2008-07-04,astérix aux jeux olympiques,adventure,113500000,999811
1241,1999-01-15,at first sight,drama,40000000,22326247
