movieskey,moviename,deathcount,deathcomment
876,fragile,5,5
332,frankenhooker,13,12 and a guinea pig
822,frankenstein (1931),4,4
1891,frankie & alice,1,1
1624,freaky friday ,0,0
218,freddy vs jason,85,20 people and 65 maggots
1170,freedom writers,3,3
1159,freeway killer,7,7
1913,frequently asked questions about time travel,0,0
274,friday the 13th,11,10 and a snake
424,friday the 13th (2009),15,15
277,friday the 13th part 2,9,9
281,friday the 13th part 3,13,12 and an unborn baby
286,friday the 13th part 4: the final chapter,14,14
294,friday the 13th part 5: a new beginning,19,19
322,friday the 13th part 6: jason lives,18,17 (including a 3-for-one decapitation) and 1 bug
334,friday the 13th part 7: the new blood,16,16
335,friday the 13th part 8: jason takes manhattan,22,22
341,friday the 13th part 9: jason goes to hell,22,22
303,fried green tomatoes,6,5 plus one arm
1065,fright night,10,5 and 5 vampires
276,fright night (1985),6,"3 humans, 2 vampires, and a guy who was neither human nor vampire"
1312,frogs,9,"7 people, 1 snake and an alligator"
200,from dusk till dawn,94,23 humans and 71 vampires
1331,from dusk till dawn 2: texas blood money,43,37 people and 6 vampires
1336,from dusk till dawn 3: the hangmans daughter,54,"35 people, 18 vampires and a horse"
479,from hell,8,8
1229,from paris with love,48,48
426,from russia with love,23,"22, 1 siamese fighting fish, and 2 bitches banged"
1830,frozen,6,1 ship
1779,full metal jacket,29862,"29,862"
489,funny games (2008),5,4 people and 1 dog
966,futureworld,6,"2 people, 2 robots and 2 genetic duplicates"
997,game of death ii,12,12
440,gangs of new york,95,94 and a rat
1904,garden state,1,1 hamster
398,gattaca,5,2 and 3 zygotes
1602,gentlemen broncos,0,0
2089,get hard,0,0
336,get smart,14,13 and a robot fly
1057,get the gringo,52,52
1983,getting that girl,0,0
1686,ghost dad,0,0
747,ghost dog: the way of the samurai,45,"18 people, 26 pigeons and 1 bear"
954,ghost in the shell,2,2
155,ghost rider,26,"21, 4 demons and an iguana"
667,ghost ship,1137,"1,137"
861,ghostbusters,3,1 Stay Puft Marshmallow Man and 2 gargoyle dogs
877,ghosts of girlfriends past,2,2
70,ghoulies,1,1 (I hate when people come back to life)
71,ghoulies ii ghoulies 2,12,"7 people, 4 ghoulies, and one ghoulie eater"
901,ghoulies iii: ghoulies go to college ghoulies 3,6,6
1550,gi jane,15,15
980,gi joe: the rise of cobra,149,149
790,giallo,5,5
5,ginger dead man,7,6 and a cookie
847,ginger snaps,10,"4 people, 4 dogs and 2 werewolves"
1766,girl most likely,0,0
1041,girl next door,2,2
893,girly,5,5
1630,go,0,0
1649,goats,0,0
1099,god bless america,31,31
1631,god bless america ,31,31
1151,godzilla (1998),393,"173 people, 219 Godzilla babies and Godzilla"
1975,godzilla: final wars,104,"71 people, 20 Xilians, Manda, Gigan, Upgraded Gigan, 1 tuna eating monster, 1 giant jumping spider, 1 giant praying mantis, 1 pterodactyl monster, 1 armadillo monster, 1 dog monster, 2 random monster and a 3-headed monster"
1084,gojira (aka godzilla),10411,"10,374 plus 12 cows, 8 pigs, 16 fish and Godzilla"
511,goldeneye,60,60 and 2 bitches banged
427,goldfinger,60,60 and 2 bitches banged
1329,gone,1,1
1702,gone girl,1,1
463,good night and good luck,1,1
846,good night to die a good night to die,7,7
2151,good people,8,8
736,good time max,3,3
1781,good will hunting,0,0
587,goodfellas,10,10
1171,gosford park,17,1 person and 16 birds
1578,gothic,100,A plate full of leeches
1269,grace,53,"3 people, 2 rats and 48 flies"
454,gran torino,1,1
1540,gravity,4,4
1157,green lantern,30,29 and Parallax
