moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
life of pi,1932,124987022,120000000,drama,11/21/2012,328,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
gremlins 2: the new batch,1375,41476097,50000000,comedy,6/15/1990,325,"3 people, 322 gremlins"
the fifth element,3387,63540020,95000000,action,5/9/1997,320,"22 humans, plus an entire space battleship, 26 mangolores, 3 mondoshawans, 17 parasites, one cockroach and one diva"
hot shots! part deux,,,,,,317,"315 people, a dog and a chicken"
australia,318,49554002,130000000,drama,11/26/2008,313,"298, 10 cows, 1 horse, 2 flies, 1 kangaroo and a dog"
ultraviolet,4131,18522064,30000000,action,3/3/2006,311,310 and an unborn child
the hobbit: an unexpected journey,3486,303003568,250000000,adventure,12/14/2012,308,"13 men, 55 dwarves, 33 orcs, 3 trolls, a stone-giant, 185 goblins, the Goblin King, 16 wargs and a snail"
the invasion,3541,15074191,80000000,thriller/suspense,8/17/2007,305,303 and 2 dogs
rambo iv,,,,,,298,"6 before the title, then 283 more plus 2 oxen, 3 fish and 4 dogs"
final destination,1158,53302314,23000000,horror,3/17/2000,292,292
constantine,745,75500759,75000000,action,2/18/2005,283,"5 people, 15 demons, 51 half breeds, 127 cows and 85 bugs"
mission: impossible 2,2156,215409889,120000000,action,5/24/2000,280,280
dune,1003,27447471,45000000,action,12/14/1984,270,268 and 2 sandworms
die hard 2,909,117323878,70000000,action,7/3/1990,265,265
blade: trinity,464,52397389,65000000,action,12/8/2004,254,"195 people, 55 vampires, 3 vampire dogs and Dracula"
pathfinder,,,,,,243,"240, 2 horses and 1 bear"
blade ii,,,,,,239,"34 people, 23 vampires, 86 reapers and 96 reaper fetuses"
carrie (2002),,,,,,236,235 and a pig
hard boiled,,,,,,235,235
judge dredd,1762,34687912,85000000,action,6/30/1995,231,231 and an ABC robot
sharknado,,,,,,228,"22 people, 205 sharks and a duck"
olympus has fallen,2357,98927592,70000000,thriller/suspense,3/22/2013,223,222 and a dog
casino royale (1967),,,,,,217,"207 plus a goat, a robot, 2 seals, 4 horses and 2 grouse."
legion,1903,40122938,26000000,thriller/suspense,1/22/2010,217,172 and 45 locusts
mars attacks!,2072,37754208,80000000,comedy,12/13/1996,204,"122 people, 78 aliens, 2 dogs, 1 dove and 1 bird"
slither,2900,7802450,15250000,horror,3/31/2006,201,"97 people, 77 alien slugs, 11 dogs, 8 cats, 3 coyotes, 2 cows, a mare, a possum and a deer"
serenity,2801,25335935,39000000,action,9/30/2005,197,196 and a bug
the thirst,,,,,,191,"39, a club full of people and 2 cats"
equilibrium,1066,1190018,20000000,action,12/6/2002,187,180 people and 7 dogs
the lord of the rings: the fellowship of the ring,3619,315544750,109000000,adventure,12/19/2001,183,"102 before the title and then 72 more, plus 9 horses"
avatar,321,760507625,425000000,action,12/18/2009,181,"69 humans, 74 Nav'i, 4 hairless tar dogs, 1 blue deer-thing, 2 avatars, 17 6-legged blue horses, 13 banshees and 1 giant panther dragon."
hellraiser iii: hell on earth,,,,,,178,177 people & 1 head explosion
alien abduction,,,,,,174,174 crows
bunraku,,,,,,170,170
cloud atlas,714,27108272,102000000,drama,10/26/2012,169,168 and a dog
planet terror grindhouse,,,,,,169,"32 people, 136 infected and a dog"
the sacrament,,,,,,167,167
30 days of night,46,39568996,30000000,horror,10/19/2007,165,"146 people, 12 vampires and 7 dogs"
the expendables,3372,103068524,82000000,action,8/13/2010,165,165
star wars: episode i - the phantom menace,,,,,,162,"21, 3 gungam mounts, 4 destroyers, 2 tattooine lizard rats, 130 droids, 1 black gooberfish, and 1 eel-igator. Also 0 motherfuckers from Samuel L. Jackson."
turok: son of stone,,,,,,158,"149 people, 2 horses, 2 bucks, a monkey, a bug, a sea monster, an elephant and a pterodactyl"
art school confidential,,,,,,153,3 and an apartment building
gi joe: the rise of cobra,1318,150201498,175000000,action,8/7/2009,149,149
zombieland,4379,75590286,23600000,comedy,10/2/2009,149,148 plus Bill Murray
thor,4014,181030624,150000000,action,5/6/2011,148,"146, 1 Giant Ice Monster and 1 Destroyer"
aliens vs predator - requiem,181,41797066,40000000,action,12/25/2007,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
robocop (1987),,,,,,140,139 and 1 ED-209
highway to hell,,,,,,139,"137 people, a demon and Hellcop"
star wars ep v: the empire strikes back,3009,290158751,23000000,adventure,5/21/1980,136,"38, 2 tauntauns, 1 probe droid, 2 AT-AT Imperial Walkers, 4 TIE fighters and one mynock"
carrie,605,25878153,1800000,horror,11/16/1976,135,134 and a pig
gremlins,1374,148117285,11000000,comedy,6/8/1984,132,3 people and 129 gremlins
rambo iii,2584,53715611,58000000,action,5/25/1988,132,130 and 2 horses
screamers,,,,,,132,"76 people, 11 Type 1-revised screamers, 2 Type 2 screamers, 40 Type 3 screamers, 2 Type 4 screamers, and 1 rat"
cowboys and aliens,766,100240551,163000000,action,7/29/2011,130,"35 people, 11 horses, 44 cows and 40 aliens"
you dont know jack,,,,,,130,130
the collection (2012),,,,,,129,"126, 2 dogs and 1 large cockroach"
the house of the dead,3499,10199354,7000000,horror,10/10/2003,128,128
lifeboat,,,,,,125,124 and a baby
natural born killers,,,,,,123,122 and a scorpion
moonraker,2186,70300000,31000000,action,6/29/1979,121,"108, 12 pheasants, 1 python and 3 bitches banged"
raiders of the lost ark,2577,248159971,20000000,adventure,6/12/1981,119,"55, a monkey and 63 ""impossible to count"" snakes"
day of the dead,838,5804262,3500000,horror,7/3/1985,118,117 and one zombie boyfriend
snakes on a plane,2911,34020814,33000000,thriller/suspense,8/18/2006,118,"62 people, 54 snakes, 1 cat and 1 dog. Also, Samuel L. Jackson said motherfucker/ing five times."
the watch,3946,34353000,55000000,comedy,7/27/2012,117,"4 people, a cow, and 112 aliens"
robocop (2014),,,,,,113,"55 people, 54 EM-208's, 4 ED-209's and 1 motherfucker"
the dark knight rises,3335,448139099,275000000,action,7/20/2012,112,111 plus Bane
the spy who loved me,3872,46800000,14000000,action,7/13/1977,111,"44, a fish, a shark and two submarines full of guys in orange jumpsuits. Oh, and two bitches banged"
dreamcatcher,980,33685268,68000000,drama,3/21/2003,108,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits"
punisher: war zone,2551,8050977,35000000,action,12/5/2008,108,108
the prestige,3761,53089891,40000000,thriller/suspense,10/20/2006,108,105 and 3 birds
red dawn,2605,44806783,65000000,action,11/21/2012,107,106 and a deer
mystery men,2250,29762011,68000000,comedy,8/6/1999,106,6 and a blown-up asylum
the simpsons movie,3846,183135014,72500000,comedy,7/27/2007,106,"2, plus all 3 members of Green Day, 77 fish and 24 swallows"
captain america: the first avenger,597,176654505,140000000,action,7/22/2011,105,105
godzilla: final wars,,,,,,104,"71 people, 20 Xilians, Manda, Gigan, Upgraded Gigan, 1 tuna eating monster, 1 giant jumping spider, 1 giant praying mantis, 1 pterodactyl monster, 1 armadillo monster, 1 dog monster, 2 random monster and a 3-headed monster"
bram stokers dracula,521,78142084,40000000,horror,11/13/1992,103,"95, 1 worm, 1 baby, 1 horse, and 5 vampires"
dances with wolves,811,175293948,19000000,western,11/9/1990,103,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf"
i am omega,,,,,,103,"3 people, 31 mutant creatures and a hive"
return of the living dead: necropolis,,,,,,103,103
gothic,,,,,,100,A plate full of leeches
shoot em up,,,,,,98,96 plus 2 deaths by carrot to the face
octopussy,2349,62440579,27500000,action,6/10/1983,97,"96 and a spider, and 2 bitches banged"
rules of engagement,2705,61322858,60000000,thriller/suspense,4/7/2000,97,97 and 5 motherfuckers from Samuel L. Jackson
star trek iii: the search for spock,2995,71273785,18000000,adventure,6/1/1984,97,95 plus 1 space-snake alien life form and 1 Klingon spacedog
survival of the dead,,,,,,96,"94, a pig, and a horse"
the running man,3822,37743350,30000000,action,11/13/1987,96,"18 before the opening titles ended, 60 innocent men, women & children, 4 stalkers and then 14 more people"
wonder woman,,,,,,96,"85, 2 fire breathing dragon dogs, 1 cyclops, 1 pegasus, 1 minotaur, 1 rat, 3 gargoyles, Deimos & Ares"
district 9,924,115646235,30000000,thriller/suspense,8/14/2009,95,"48, a little alien dog, and 46 alien eggs"
gangs of new york,1282,77730500,97000000,drama,12/20/2002,95,94 and a rat
tank girl,3124,3817132,25000000,action,3/1/1995,95,"93 people, 1 Ripper and a yak"
final destination 5,1161,42587643,40000000,horror,8/12/2011,94,94
from dusk till dawn,1255,25728961,20000000,horror,1/19/1996,94,23 humans and 71 vampires
blood diamond,474,57377916,100000000,action,12/8/2006,93,92 and a baboon
mutant vampire zombies from the hood!,,,,,,92,92
pirates of the caribbean: at worlds end,2474,309420425,300000000,adventure,5/24/2007,88,88
dredd,983,13414714,45000000,action,9/21/2012,87,87
shrek,2855,267655011,50000000,adventure,5/18/2001,87,"1 plus 1 bug, 4 fish, 1 slug, 1 bird, 3 weedrats, 1 spider and a spiderweb full of bugs"
true lies,4098,146273950,100000000,action,7/15/1994,87,87
commando,731,34896317,10000000,action,10/4/1985,86,86
iron man,1682,318604126,186000000,action,5/2/2008,86,86
dance of the dead,,,,,,85,85
freddy vs jason,1232,82490748,25000000,horror,8/15/2003,85,20 people and 65 maggots
norikos dinner table,,,,,,85,85
ultimate avengers: the movie,,,,,,84,30 people and 54 aliens
safe,2721,17142080,33000000,action,4/27/2012,82,82
the league of extraordinary gentlemen,3593,66465204,78000000,adventure,7/11/2003,82,82
suicide club,,,,,,80,78 and 2 small animals
john wick,,,,,,79,78 and a puppy
machete,2015,26593646,12500000,action,9/3/2010,78,77 and an unborn child
army of darkness,289,11502976,11000000,horror,2/19/1993,77,77
death wish 3,,,,,,77,75 and 2 roaches
you only live twice,4362,43100000,9500000,action,6/13/1967,77,77 and 3 bitches banged
conan the barbarian,735,21295021,90000000,action,8/19/2011,76,"71 people, 3 horses, 1 buzzard and a giant snake"
clash of the titans,700,30000000,15000000,adventure,6/12/1981,75,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
tremors 2: aftershocks,,,,,,75,"3, plus 1 coyote and 71 graboids"
we are marshall,4234,43545364,65000000,drama,12/22/2006,75,75
predator,2517,56072497,18000000,action,6/12/1987,72,"69, a scorpion, a boar and a predator"
