,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
192,blood diamond,57377916.0,100000000.0,action,2006-12-08,93.0,92 and a baboon
194,pirates of the caribbean: at worlds end,309420425.0,300000000.0,adventure,2007-05-24,88.0,88
195,dredd,13414714.0,45000000.0,action,2012-09-21,87.0,87
196,shrek,267655011.0,50000000.0,adventure,2001-05-18,87.0,"1 plus 1 bug, 4 fish, 1 slug, 1 bird, 3 weedrats, 1 spider and a spiderweb full of bugs"
197,true lies,146273950.0,100000000.0,action,1994-07-15,87.0,87
198,commando,34896317.0,10000000.0,action,1985-10-04,86.0,86
199,iron man,318604126.0,186000000.0,action,2008-05-02,86.0,86
201,freddy vs jason,82490748.0,25000000.0,horror,2003-08-15,85.0,20 people and 65 maggots
204,safe,17142080.0,33000000.0,action,2012-04-27,82.0,82
205,the league of extraordinary gentlemen,66465204.0,78000000.0,adventure,2003-07-11,82.0,82
208,machete,26593646.0,12500000.0,action,2010-09-03,78.0,77 and an unborn child
209,army of darkness,11502976.0,11000000.0,horror,1993-02-19,77.0,77
211,you only live twice,43100000.0,9500000.0,action,1967-06-13,77.0,77 and 3 bitches banged
212,conan the barbarian,21295021.0,90000000.0,action,2011-08-19,76.0,"71 people, 3 horses, 1 buzzard and a giant snake"
213,clash of the titans,30000000.0,15000000.0,adventure,1981-06-12,75.0,"69 plus 3 giant scorpions, 1 two-headed dog, Medusa and the Kraken"
215,we are marshall,43545364.0,65000000.0,drama,2006-12-22,75.0,75
216,predator,56072497.0,18000000.0,action,1987-06-12,72.0,"69, a scorpion, a boar and a predator"
217,king kong,218080025.0,207000000.0,adventure,2005-12-14,71.0,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats."
221,blade,70001065.0,45000000.0,action,1998-08-21,69.0,"22 humans, 46 vampires and a plant"
223,elysium,93050117.0,120000000.0,action,2013-08-09,69.0,69
224,lord of war,24149632.0,42000000.0,action,2005-09-16,69.0,69
227,total recall,108580729.0,65000000.0,action,1990-06-01,68.0,"49, plus 16 fish, 1 rat, 1 Jonny Cab and 1 three-breasted mutant hooker"
228,dogma,30651422.0,10000000.0,comedy,1999-11-12,67.0,"57, 5 demons and 5 gang members"
229,drive angry,10721033.0,50000000.0,action,2011-02-25,67.0,67
230,apocalypto,50866635.0,40000000.0,adventure,2006-12-08,66.0,"59 people, 1 tapir, 3 ants, 1 jaguar, 1 monkey and 1 snake"
232,diamonds are forever,43800000.0,7200000.0,action,1971-12-17,66.0,66 and only 1 bitch banged
234,sin city: a dame to kill for,13757804.0,65000000.0,action,2014-08-22,66.0,66
235,snow white and the huntsman,155136755.0,170000000.0,adventure,2012-06-01,66.0,"63, a dwarf, a horse and the Evil Queen"
237,kick-ass,48071303.0,28000000.0,black comedy,2010-04-16,64.0,64
238,the island,15716828.0,22000000.0,adventure,1980-06-13,64.0,"22, plus 2 police officers and 40 ""defective"" (read: free-thinking) clones"
239,v for vendetta,70511035.0,50000000.0,action,2006-03-17,64.0,64
240,x-men: first class,146408305.0,160000000.0,action,2011-06-03,64.0,62 people and 2 mutants
241,pirates of the caribbean: on stranger tides,241063875.0,250000000.0,adventure,2011-05-20,63.0,"56 people, 2 mermaids, 3 poisonous toads and 2 zombie pirates"
242,pitch black,39235088.0,23000000.0,horror,2000-02-18,63.0,40 and 23 aliens
243,rambo iii,53715611.0,58000000.0,action,1988-05-25,63.0,62 and a chicken
